household_id,district,sub_region,lat,lon,hh_size,head_female,land_holding_ha,grows_maize,grows_beans,grows_banana,grows_cassava,maize_area_ha,maize_yield_mt_ha,maize_production_kg,annual_rain_mm_2018,season1_rain_mm_2018,season2_rain_mm_2018,mean_temp_c_2018,rain_3yr_avg_mm
LUW-038,luwero,N Buganda,0.85,32.47,8,1,1.4,0,0,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-039,luwero,N Buganda,0.85,32.47,5,1,1.9,1,0,0,1,0.9,2.55,2295.5,1040.8,403.0,327.3,23.26,1196.8
LUW-040,luwero,N Buganda,0.85,32.47,8,1,0.46,1,0,0,0,0.46,1.68,773.1,1040.8,403.0,327.3,23.26,1196.8
LUW-041,luwero,N Buganda,0.85,32.47,3,1,0.56,1,1,1,0,0.56,0.73,406.1,1040.8,403.0,327.3,23.26,1196.8
LUW-042,luwero,N Buganda,0.85,32.47,5,0,1.38,1,1,0,1,0.23,2.99,686.7,1040.8,403.0,327.3,23.26,1196.8
LUW-043,luwero,N Buganda,0.85,32.47,5,0,0.8,1,1,0,0,0.57,1.58,901.7,1040.8,403.0,327.3,23.26,1196.8
LUW-044,luwero,N Buganda,0.85,32.47,4,1,1.36,0,1,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-045,luwero,N Buganda,0.85,32.47,3,0,1.23,1,1,0,0,0.76,2.43,1848.7,1040.8,403.0,327.3,23.26,1196.8
LUW-046,luwero,N Buganda,0.85,32.47,9,0,0.37,1,0,1,0,0.22,1.35,296.8,1040.8,403.0,327.3,23.26,1196.8
LUW-047,luwero,N Buganda,0.85,32.47,2,0,1.4,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-048,luwero,N Buganda,0.85,32.47,4,1,1.42,1,0,0,0,0.73,2.24,1633.4,1040.8,403.0,327.3,23.26,1196.8
LUW-049,luwero,N Buganda,0.85,32.47,5,1,1.0,0,1,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-050,luwero,N Buganda,0.85,32.47,4,1,1.74,1,0,1,0,0.36,2.55,917.9,1040.8,403.0,327.3,23.26,1196.8
LUW-051,luwero,N Buganda,0.85,32.47,4,0,2.0,0,1,1,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-052,luwero,N Buganda,0.85,32.47,4,0,1.16,0,1,0,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-053,luwero,N Buganda,0.85,32.47,4,0,2.83,1,1,0,1,0.47,1.0,470.7,1040.8,403.0,327.3,23.26,1196.8
LUW-054,luwero,N Buganda,0.85,32.47,6,1,0.82,0,1,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-055,luwero,N Buganda,0.85,32.47,5,1,2.27,1,1,0,0,0.87,2.33,2027.1,1040.8,403.0,327.3,23.26,1196.8
LUW-056,luwero,N Buganda,0.85,32.47,4,0,3.22,1,1,1,1,0.33,2.3,758.9,1040.8,403.0,327.3,23.26,1196.8
LUW-057,luwero,N Buganda,0.85,32.47,4,0,0.7,1,1,1,1,0.43,3.26,1402.8,1040.8,403.0,327.3,23.26,1196.8
LUW-058,luwero,N Buganda,0.85,32.47,6,0,1.33,0,0,0,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-059,luwero,N Buganda,0.85,32.47,4,0,0.59,1,1,1,0,0.52,2.45,1273.2,1040.8,403.0,327.3,23.26,1196.8
LUW-060,luwero,N Buganda,0.85,32.47,4,0,0.72,1,0,1,1,0.7,2.75,1925.8,1040.8,403.0,327.3,23.26,1196.8
LUW-061,luwero,N Buganda,0.85,32.47,5,1,1.41,1,1,0,1,0.18,1.2,216.5,1040.8,403.0,327.3,23.26,1196.8
LUW-062,luwero,N Buganda,0.85,32.47,7,1,0.74,1,1,0,0,0.62,1.76,1093.8,1040.8,403.0,327.3,23.26,1196.8
LUW-063,luwero,N Buganda,0.85,32.47,5,0,0.93,1,1,1,0,0.7,1.69,1180.9,1040.8,403.0,327.3,23.26,1196.8
LUW-064,luwero,N Buganda,0.85,32.47,6,0,0.65,0,0,1,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-065,luwero,N Buganda,0.85,32.47,4,1,1.18,1,1,1,1,0.4,2.37,948.6,1040.8,403.0,327.3,23.26,1196.8
LUW-066,luwero,N Buganda,0.85,32.47,2,1,0.82,1,1,1,1,0.33,2.25,742.0,1040.8,403.0,327.3,23.26,1196.8
LUW-067,luwero,N Buganda,0.85,32.47,4,0,1.01,1,1,1,1,0.61,2.43,1484.7,1040.8,403.0,327.3,23.26,1196.8
LUW-068,luwero,N Buganda,0.85,32.47,5,0,1.05,0,1,0,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-069,luwero,N Buganda,0.85,32.47,3,0,1.32,1,1,1,1,0.46,1.71,785.8,1040.8,403.0,327.3,23.26,1196.8
LUW-070,luwero,N Buganda,0.85,32.47,5,1,0.5,1,1,0,0,0.24,2.9,696.4,1040.8,403.0,327.3,23.26,1196.8
LUW-071,luwero,N Buganda,0.85,32.47,7,0,1.34,0,0,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-072,luwero,N Buganda,0.85,32.47,6,0,0.58,1,0,0,0,0.57,3.19,1819.9,1040.8,403.0,327.3,23.26,1196.8
LUW-073,luwero,N Buganda,0.85,32.47,1,1,0.87,1,0,1,0,0.65,1.75,1139.8,1040.8,403.0,327.3,23.26,1196.8
LUW-074,luwero,N Buganda,0.85,32.47,7,0,0.78,0,0,1,1,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-075,luwero,N Buganda,0.85,32.47,5,1,1.25,0,0,0,0,0.0,,0.0,1040.8,403.0,327.3,23.26,1196.8
LUW-076,luwero,N Buganda,0.85,32.47,6,1,0.78,1,0,1,0,0.37,2.38,881.6,1040.8,403.0,327.3,23.26,1196.8
LUW-077,luwero,N Buganda,0.85,32.47,3,0,2.33,1,0,1,0,0.41,0.94,384.5,1040.8,403.0,327.3,23.26,1196.8
LUW-078,luwero,N Buganda,0.85,32.47,4,1,0.99,1,1,1,0,0.71,3.33,2365.4,1040.8,403.0,327.3,23.26,1196.8
LUW-079,luwero,N Buganda,0.85,32.47,5,0,1.02,1,0,0,0,0.54,1.87,1007.5,1040.8,403.0,327.3,23.26,1196.8
LUW-080,luwero,N Buganda,0.85,32.47,8,1,2.75,1,1,1,0,0.55,2.83,1555.1,1040.8,403.0,327.3,23.26,1196.8
NAK-001,nakasongola,N Buganda,1.32,32.46,4,0,1.09,1,1,0,1,0.22,2.39,525.6,903.7,392.4,220.3,24.44,1012.5
NAK-002,nakasongola,N Buganda,1.32,32.46,3,0,1.69,1,1,1,1,0.6,3.53,2117.7,903.7,392.4,220.3,24.44,1012.5
NAK-003,nakasongola,N Buganda,1.32,32.46,5,0,1.0,1,1,0,0,0.4,1.81,725.0,903.7,392.4,220.3,24.44,1012.5
NAK-004,nakasongola,N Buganda,1.32,32.46,6,1,0.85,0,1,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-005,nakasongola,N Buganda,1.32,32.46,1,1,0.72,1,1,1,0,0.72,1.95,1406.1,903.7,392.4,220.3,24.44,1012.5
NAK-006,nakasongola,N Buganda,1.32,32.46,3,0,1.96,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-007,nakasongola,N Buganda,1.32,32.46,6,1,1.62,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-008,nakasongola,N Buganda,1.32,32.46,2,0,0.91,0,1,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-009,nakasongola,N Buganda,1.32,32.46,2,0,2.46,1,0,1,0,0.63,2.13,1345.0,903.7,392.4,220.3,24.44,1012.5
NAK-010,nakasongola,N Buganda,1.32,32.46,5,1,1.28,1,1,1,1,0.16,2.7,432.2,903.7,392.4,220.3,24.44,1012.5
NAK-011,nakasongola,N Buganda,1.32,32.46,7,0,0.4,1,0,0,1,0.4,1.56,625.6,903.7,392.4,220.3,24.44,1012.5
NAK-012,nakasongola,N Buganda,1.32,32.46,4,0,0.63,1,0,1,0,0.63,2.48,1564.8,903.7,392.4,220.3,24.44,1012.5
NAK-013,nakasongola,N Buganda,1.32,32.46,5,1,1.56,1,1,1,1,0.52,1.77,918.5,903.7,392.4,220.3,24.44,1012.5
NAK-014,nakasongola,N Buganda,1.32,32.46,2,0,2.85,1,0,0,1,0.55,1.44,794.2,903.7,392.4,220.3,24.44,1012.5
NAK-015,nakasongola,N Buganda,1.32,32.46,5,0,0.54,1,1,0,0,0.5,2.25,1124.6,903.7,392.4,220.3,24.44,1012.5
NAK-016,nakasongola,N Buganda,1.32,32.46,4,0,0.61,1,1,0,1,0.61,1.03,627.1,903.7,392.4,220.3,24.44,1012.5
NAK-017,nakasongola,N Buganda,1.32,32.46,4,0,1.97,0,1,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-018,nakasongola,N Buganda,1.32,32.46,5,0,2.23,1,0,0,0,0.56,1.98,1108.1,903.7,392.4,220.3,24.44,1012.5
NAK-019,nakasongola,N Buganda,1.32,32.46,3,0,0.83,1,0,1,0,0.57,1.42,807.3,903.7,392.4,220.3,24.44,1012.5
NAK-020,nakasongola,N Buganda,1.32,32.46,4,1,0.58,1,0,0,1,0.47,2.83,1329.4,903.7,392.4,220.3,24.44,1012.5
NAK-021,nakasongola,N Buganda,1.32,32.46,1,0,2.6,1,0,0,0,0.42,2.96,1241.7,903.7,392.4,220.3,24.44,1012.5
NAK-022,nakasongola,N Buganda,1.32,32.46,8,1,3.14,1,0,0,0,0.6,4.01,2404.4,903.7,392.4,220.3,24.44,1012.5
NAK-023,nakasongola,N Buganda,1.32,32.46,6,0,1.87,0,1,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-024,nakasongola,N Buganda,1.32,32.46,5,1,1.32,0,1,0,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-025,nakasongola,N Buganda,1.32,32.46,2,0,1.15,1,1,1,0,0.37,2.07,766.7,903.7,392.4,220.3,24.44,1012.5
NAK-026,nakasongola,N Buganda,1.32,32.46,5,0,1.64,1,1,1,1,0.45,2.04,917.1,903.7,392.4,220.3,24.44,1012.5
NAK-027,nakasongola,N Buganda,1.32,32.46,4,0,1.85,0,0,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-028,nakasongola,N Buganda,1.32,32.46,7,0,0.28,0,1,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-029,nakasongola,N Buganda,1.32,32.46,4,1,1.96,1,0,1,1,0.61,2.16,1318.5,903.7,392.4,220.3,24.44,1012.5
NAK-030,nakasongola,N Buganda,1.32,32.46,4,1,0.78,1,0,1,1,0.29,1.65,478.2,903.7,392.4,220.3,24.44,1012.5
NAK-031,nakasongola,N Buganda,1.32,32.46,5,0,0.78,0,0,0,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-032,nakasongola,N Buganda,1.32,32.46,5,1,0.39,1,0,0,0,0.39,3.23,1259.4,903.7,392.4,220.3,24.44,1012.5
NAK-033,nakasongola,N Buganda,1.32,32.46,4,0,0.97,1,1,0,0,0.97,2.29,2217.2,903.7,392.4,220.3,24.44,1012.5
NAK-034,nakasongola,N Buganda,1.32,32.46,5,1,1.05,1,1,0,1,0.64,2.82,1804.9,903.7,392.4,220.3,24.44,1012.5
NAK-035,nakasongola,N Buganda,1.32,32.46,5,0,1.32,0,0,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-036,nakasongola,N Buganda,1.32,32.46,5,0,0.58,1,1,0,0,0.5,2.34,1172.4,903.7,392.4,220.3,24.44,1012.5
NAK-037,nakasongola,N Buganda,1.32,32.46,7,0,0.63,1,1,0,1,0.34,2.65,902.6,903.7,392.4,220.3,24.44,1012.5
NAK-038,nakasongola,N Buganda,1.32,32.46,4,1,1.04,1,0,1,0,0.87,1.85,1611.8,903.7,392.4,220.3,24.44,1012.5
NAK-039,nakasongola,N Buganda,1.32,32.46,2,0,1.42,1,1,0,0,0.69,1.26,867.6,903.7,392.4,220.3,24.44,1012.5
NAK-040,nakasongola,N Buganda,1.32,32.46,5,0,1.53,1,0,1,0,1.23,2.89,3553.3,903.7,392.4,220.3,24.44,1012.5
NAK-041,nakasongola,N Buganda,1.32,32.46,4,0,1.68,1,0,1,0,0.35,1.85,648.0,903.7,392.4,220.3,24.44,1012.5
NAK-042,nakasongola,N Buganda,1.32,32.46,6,1,1.33,1,0,0,1,0.27,2.97,800.7,903.7,392.4,220.3,24.44,1012.5
NAK-043,nakasongola,N Buganda,1.32,32.46,3,0,0.62,1,1,1,1,0.62,2.3,1428.4,903.7,392.4,220.3,24.44,1012.5
NAK-044,nakasongola,N Buganda,1.32,32.46,5,1,1.54,0,0,0,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-045,nakasongola,N Buganda,1.32,32.46,4,1,2.11,1,0,1,0,0.5,2.69,1345.8,903.7,392.4,220.3,24.44,1012.5
NAK-046,nakasongola,N Buganda,1.32,32.46,3,0,1.6,1,1,1,0,0.34,1.58,538.7,903.7,392.4,220.3,24.44,1012.5
NAK-047,nakasongola,N Buganda,1.32,32.46,3,0,0.65,0,0,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-048,nakasongola,N Buganda,1.32,32.46,9,0,2.47,1,1,1,0,0.46,2.97,1367.3,903.7,392.4,220.3,24.44,1012.5
NAK-049,nakasongola,N Buganda,1.32,32.46,4,0,0.77,1,1,0,0,0.48,1.98,951.3,903.7,392.4,220.3,24.44,1012.5
NAK-050,nakasongola,N Buganda,1.32,32.46,2,0,0.46,1,1,1,0,0.37,2.96,1095.6,903.7,392.4,220.3,24.44,1012.5
NAK-051,nakasongola,N Buganda,1.32,32.46,5,1,1.4,1,0,0,1,0.23,2.49,573.1,903.7,392.4,220.3,24.44,1012.5
NAK-052,nakasongola,N Buganda,1.32,32.46,4,0,1.11,0,0,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-053,nakasongola,N Buganda,1.32,32.46,4,1,1.44,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-054,nakasongola,N Buganda,1.32,32.46,5,0,0.6,0,0,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-055,nakasongola,N Buganda,1.32,32.46,6,0,0.95,1,0,1,0,0.88,1.88,1657.2,903.7,392.4,220.3,24.44,1012.5
NAK-056,nakasongola,N Buganda,1.32,32.46,5,1,1.41,1,1,0,1,0.44,3.16,1391.6,903.7,392.4,220.3,24.44,1012.5
NAK-057,nakasongola,N Buganda,1.32,32.46,4,1,0.35,0,1,0,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-058,nakasongola,N Buganda,1.32,32.46,4,0,1.14,0,1,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-059,nakasongola,N Buganda,1.32,32.46,1,1,0.82,0,1,1,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-060,nakasongola,N Buganda,1.32,32.46,6,0,1.22,0,1,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-061,nakasongola,N Buganda,1.32,32.46,5,0,2.47,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-062,nakasongola,N Buganda,1.32,32.46,4,0,0.64,1,0,0,1,0.42,1.41,592.4,903.7,392.4,220.3,24.44,1012.5
NAK-063,nakasongola,N Buganda,1.32,32.46,1,1,0.64,0,0,0,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-064,nakasongola,N Buganda,1.32,32.46,5,0,0.53,1,0,1,1,0.25,1.91,477.6,903.7,392.4,220.3,24.44,1012.5
NAK-065,nakasongola,N Buganda,1.32,32.46,5,1,1.02,1,1,0,1,1.02,3.28,3341.8,903.7,392.4,220.3,24.44,1012.5
NAK-066,nakasongola,N Buganda,1.32,32.46,2,0,2.49,1,1,1,1,0.48,1.71,820.6,903.7,392.4,220.3,24.44,1012.5
NAK-067,nakasongola,N Buganda,1.32,32.46,3,1,0.68,1,1,0,1,0.46,1.67,769.1,903.7,392.4,220.3,24.44,1012.5
NAK-068,nakasongola,N Buganda,1.32,32.46,1,1,0.41,1,1,0,0,0.41,2.35,962.1,903.7,392.4,220.3,24.44,1012.5
NAK-069,nakasongola,N Buganda,1.32,32.46,6,1,1.47,1,0,0,0,0.38,1.43,542.0,903.7,392.4,220.3,24.44,1012.5
NAK-070,nakasongola,N Buganda,1.32,32.46,2,0,0.31,1,1,0,1,0.31,2.47,766.0,903.7,392.4,220.3,24.44,1012.5
NAK-071,nakasongola,N Buganda,1.32,32.46,7,0,0.63,1,1,1,0,0.41,1.02,416.3,903.7,392.4,220.3,24.44,1012.5
NAK-072,nakasongola,N Buganda,1.32,32.46,4,1,1.87,1,1,0,0,0.37,2.56,948.9,903.7,392.4,220.3,24.44,1012.5
NAK-073,nakasongola,N Buganda,1.32,32.46,4,1,0.84,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-074,nakasongola,N Buganda,1.32,32.46,4,1,0.69,0,1,0,1,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-075,nakasongola,N Buganda,1.32,32.46,7,0,1.35,1,1,1,0,0.6,1.97,1181.5,903.7,392.4,220.3,24.44,1012.5
NAK-076,nakasongola,N Buganda,1.32,32.46,7,0,0.36,1,1,0,1,0.36,3.3,1188.8,903.7,392.4,220.3,24.44,1012.5
NAK-077,nakasongola,N Buganda,1.32,32.46,6,1,0.86,0,1,1,0,0.0,,0.0,903.7,392.4,220.3,24.44,1012.5
NAK-078,nakasongola,N Buganda,1.32,32.46,2,0,0.58,1,0,1,1,0.58,2.55,1480.3,903.7,392.4,220.3,24.44,1012.5
NAK-079,nakasongola,N Buganda,1.32,32.46,4,0,0.64,1,1,1,1,0.64,1.69,1084.8,903.7,392.4,220.3,24.44,1012.5
NAK-080,nakasongola,N Buganda,1.32,32.46,5,1,3.02,1,1,1,0,0.34,1.76,599.6,903.7,392.4,220.3,24.44,1012.5
MUB-001,mubende,S Buganda,0.59,31.37,4,0,1.25,1,0,1,1,0.72,1.37,988.7,1192.0,408.6,408.1,21.06,1317.1
MUB-002,mubende,S Buganda,0.59,31.37,2,0,1.28,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-003,mubende,S Buganda,0.59,31.37,9,0,0.71,1,1,0,0,0.71,2.7,1914.2,1192.0,408.6,408.1,21.06,1317.1
MUB-004,mubende,S Buganda,0.59,31.37,3,1,1.04,1,0,0,1,0.72,3.65,2626.4,1192.0,408.6,408.1,21.06,1317.1
MUB-005,mubende,S Buganda,0.59,31.37,5,0,0.83,0,1,1,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-006,mubende,S Buganda,0.59,31.37,1,1,0.89,1,0,1,0,0.81,1.59,1288.8,1192.0,408.6,408.1,21.06,1317.1
MUB-007,mubende,S Buganda,0.59,31.37,6,0,0.45,1,0,0,0,0.45,3.38,1522.9,1192.0,408.6,408.1,21.06,1317.1
MUB-008,mubende,S Buganda,0.59,31.37,6,0,0.92,1,1,1,1,0.29,2.7,783.5,1192.0,408.6,408.1,21.06,1317.1
MUB-009,mubende,S Buganda,0.59,31.37,2,0,2.48,1,1,1,0,0.68,2.39,1625.5,1192.0,408.6,408.1,21.06,1317.1
MUB-010,mubende,S Buganda,0.59,31.37,5,0,2.11,1,1,1,1,0.71,2.65,1884.0,1192.0,408.6,408.1,21.06,1317.1
MUB-011,mubende,S Buganda,0.59,31.37,5,0,1.46,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-012,mubende,S Buganda,0.59,31.37,7,1,3.75,1,0,1,0,0.45,2.73,1230.4,1192.0,408.6,408.1,21.06,1317.1
MUB-013,mubende,S Buganda,0.59,31.37,7,0,0.67,1,1,0,1,0.44,1.94,854.7,1192.0,408.6,408.1,21.06,1317.1
MUB-014,mubende,S Buganda,0.59,31.37,3,0,1.25,0,1,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-015,mubende,S Buganda,0.59,31.37,6,0,1.34,0,1,0,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-016,mubende,S Buganda,0.59,31.37,8,0,0.93,1,1,0,0,0.41,3.38,1385.9,1192.0,408.6,408.1,21.06,1317.1
MUB-017,mubende,S Buganda,0.59,31.37,4,0,1.16,1,0,0,0,0.33,2.78,916.0,1192.0,408.6,408.1,21.06,1317.1
MUB-018,mubende,S Buganda,0.59,31.37,6,0,0.54,1,1,0,1,0.54,2.49,1345.7,1192.0,408.6,408.1,21.06,1317.1
MUB-019,mubende,S Buganda,0.59,31.37,1,0,1.01,1,0,1,1,0.63,2.84,1787.9,1192.0,408.6,408.1,21.06,1317.1
MUB-020,mubende,S Buganda,0.59,31.37,4,0,1.69,1,1,1,1,0.55,2.13,1171.6,1192.0,408.6,408.1,21.06,1317.1
MUB-021,mubende,S Buganda,0.59,31.37,4,0,0.61,1,0,0,0,0.61,1.79,1092.6,1192.0,408.6,408.1,21.06,1317.1
MUB-022,mubende,S Buganda,0.59,31.37,3,1,2.28,1,0,1,1,0.49,3.7,1812.3,1192.0,408.6,408.1,21.06,1317.1
MUB-023,mubende,S Buganda,0.59,31.37,4,1,1.49,1,1,1,0,0.35,3.29,1150.5,1192.0,408.6,408.1,21.06,1317.1
MUB-024,mubende,S Buganda,0.59,31.37,4,0,0.55,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-025,mubende,S Buganda,0.59,31.37,6,1,1.0,1,0,1,0,0.82,1.8,1476.9,1192.0,408.6,408.1,21.06,1317.1
