district,year,yield_tons_ha,yield_source,yield_tons_ha_original,yield_tons_ha_aas2020,sub_region,source_granularity,MAM,SON,DJF,JJA,annual_rainfall,rain_cv,max_monthly,min_monthly,rainy_months,MAM_tmax,MAM_tmin,MAM_gdd,MAM_heat_stress,MAM_cold_stress,SON_tmax,SON_tmin,SON_gdd,SON_heat_stress,SON_cold_stress,DJF_tmax,DJF_tmin,DJF_gdd,DJF_heat_stress,DJF_cold_stress,JJA_tmax,JJA_tmin,JJA_gdd,JJA_heat_stress,JJA_cold_stress,annual_tmax,annual_tmin,annual_gdd,annual_heat_stress,annual_cold_stress,elevation_m,lat,lon,phh2o,soc,clay,sand,silt,bdod,cec,source_status,n_households,total_area_ha,total_production_kg,fertilizer_kg_ha,planting_density,ndvi_peak,evi_peak,soil_moisture_index,planting_date,solar_radiation,yield_tons_ha_planted_aas2020,area_planted_ha_aas2020,area_harvested_ha_aas2020,production_mt_aas2020,cv_area_planted_pct_aas2020,cv_area_harvested_pct_aas2020,cv_production_pct_aas2020
Kapchorwa,2022,2.455965613956167,existing_model_table,2.455965613956167,,,,497.4115254787701,625.7818496727998,102.34764465972138,358.72498312227845,1584.2660029335698,0.490078763213751,304.6533855139506,14.619909656257764,9,24.091471271908915,13.309012256511387,800.6642748665472,0,0,22.97273946762005,10.785466796074772,625.9921112870843,0,0,23.45833910455645,11.975632942500445,694.2195778099837,0,0,20.08587170752988,11.604185455023762,537.055931455389,0,0,22.652105387903827,11.918574362527592,2657.931895419004,0,0,1800,1.4,34.45,,,,,,,,request_failed,,,,,,,,0.1992406969269116,,,,,,,,,
Kapchorwa,2023,2.6875370410921,existing_model_table,2.6875370410921,,,,501.2206663790117,583.5464152287409,34.8661728670094,338.5866550472637,1458.2199095220258,0.5753975674799444,286.36914124081966,10.54911349947528,11,21.963016281972603,13.11711495488876,693.9306328217083,0,0,22.910986939525653,11.751763620326154,667.1516699896636,0,0,25.06144990261146,13.141266614939992,818.298933568047,0,0,21.11137847288522,12.278422030883428,616.1897264448014,0,0,22.761707899248734,12.572141805259584,2795.5709628242203,0,0,1800,1.4,34.45,,,,,,,,request_failed,,,,,,,,0.1965387836098671,,,,,,,,,
Mbale,2020,2.6510166735556018,AAS2020_subregion_assigned_to_district,2.435189037499056,2.6510166735556018,Elgon,sub_region_assigned_to_district,527.0082786232006,624.8365593057108,72.11707209003995,312.380487331854,1536.3423973508054,0.553612543676101,306.78258747564524,5.297259459835274,9,25.624482981761734,16.49670567639598,1018.992156213548,0,0,27.012195118134425,15.263962359289613,1014.2199643307704,0,0,28.269009801206145,15.898776174306718,1100.5133775693637,0,0,24.610824586698403,14.736467520778469,890.7543351823003,0,0,26.379128121950178,15.598977932692693,4024.479833295983,0,0,1300,1.075,34.175,,,,,,,,request_failed,,,,,,,,0.2037665310005346,,,1.9451136351341072,90903.73658389092,66698.22158334941,176818.0975139654,16.2786131481389,16.80140034136693,20.825727510031903
Mbale,2021,2.715421968302116,existing_model_table,2.715421968302116,,,,330.4017328271321,425.8228392974794,53.31410698604147,342.13466388823525,1151.6733429988883,0.4874910770524286,209.59695858580736,4.757760282586274,11,28.09137559786865,17.609808545509594,1183.1403094592824,0,0,25.50724213958539,14.713657066561344,919.8919882163934,0,0,29.149101813334298,17.368025498169953,1193.7791194680024,0,0,26.14483869059644,16.034860250301787,1020.0812390960738,0,0,27.2231395603462,16.43158784013567,4316.892656239752,0,0,1300,1.075,34.175,,,,,,,,request_failed,,,,,,,,0.1791329719126224,,,,,,,,,
Mbale,2022,2.599436684307111,existing_model_table,2.599436684307111,,,,510.8918649323501,489.3127174176186,99.026035590355,355.41287356418536,1454.6434915045093,0.4509297338607256,265.294957746338,17.950182484598255,9,28.10614036315975,16.258565333806917,1120.5814145575437,0,0,26.611362148863577,15.662451850076968,1013.5662622992264,0,0,29.629306382419006,16.571929339415547,1176.1540214107836,0,0,24.018517229401937,16.259997963555524,932.6998496892202,0,0,27.09133153096107,16.18823612171374,4243.001547956774,0,0,1300,1.075,34.175,,,,,,,,request_failed,,,,,,,,0.1708706219991048,,,,,,,,,
Mbale,2023,2.925310514415306,existing_model_table,2.925310514415306,,,,595.5486055134563,689.0607056084519,130.40166193121036,425.0934335372098,1840.1044065903288,0.4620207843222064,334.61097187769656,20.893035843741927,11,26.45560928908288,16.36189316732234,1050.115115263797,0,0,26.4680591499688,14.77478304799462,967.1738767208578,0,0,28.313431565185464,15.946793557358973,1089.941417733711,0,0,24.88458601727144,14.39083817903937,886.943161051038,0,0,26.530421505377145,15.368576987928824,3994.173570769404,0,0,1300,1.075,34.175,,,,,,,,request_failed,,,,,,,,0.1687730389336744,,,,,,,,,
Tororo,2020,1.8697114647833253,AAS2020_subregion_assigned_to_district,2.560471922471225,1.8697114647833253,Bukedi,sub_region_assigned_to_district,402.5086394561366,527.8422521306034,55.78921758837417,445.7071288260847,1431.847238001199,0.5033342257010299,261.8132875565552,18.202348996228903,11,27.129897655564083,20.220989891916403,1258.9079765526635,0,0,29.95752262360399,17.52342231025431,1248.7839538320904,0,0,31.13257727137274,20.02624384446054,1416.0430188397988,0,0,28.31469291343294,17.088516070088286,1168.518287054293,0,0,29.13367261599344,18.714793029179884,5092.253236278846,0,0,1200,0.693,34.181,,,,,,,,request_failed,,,,,,,,0.2507131857176621,,,1.4289198748681833,84312.50944995893,64435.51463541963,120475.82045305784,9.070555188461109,9.033549190034975,10.570414759153104
Tororo,2021,2.450355196012232,existing_model_table,2.450355196012232,,,,494.6539699176004,567.95312366864,46.76725178801871,389.6082746600089,1498.982620034268,0.5328571884480885,311.5783889172691,4.666728457122138,10,29.31553481111625,18.97461570045157,1301.0693166285062,0,0,28.48767672698071,17.193851897762364,1170.277726685492,0,0,29.417991161550987,19.41128354007656,1295.4054581631513,0,0,27.196422529902687,17.827735445641196,1149.972374602369,0,0,28.60440630738766,18.35187164598292,4916.724876079518,0,0,1200,0.693,34.181,,,,,,,,request_failed,,,,,,,,0.2282975216706594,,,,,,,,,
Tororo,2022,2.342048652097677,existing_model_table,2.342048652097677,,,,498.03836142604223,548.1586702271346,50.917405062155,343.40479159665443,1440.5192283119864,0.538196420928372,270.9447271491168,13.798241726401434,10,30.665070152885672,17.94220542576902,1315.3787653661643,0,0,27.242404555684747,18.86315126389941,1187.7208512865568,0,0,30.17231610540747,18.749628925560675,1299.9352825325584,0,0,27.30165378984375,17.848370942645516,1158.1948686349997,0,0,28.84536115095541,18.350839139468658,4961.229767820279,0,0,1200,0.693,34.181,,,,,,,,request_failed,,,,,,,,0.2318437981108824,,,,,,,,,
Tororo,2023,2.595874155618118,existing_model_table,2.595874155618118,,,,436.4261777216351,592.6935608999244,72.1392184302758,317.2304553272945,1418.4894123791298,0.5360865833622571,319.5633161975326,9.684697065153175,11,26.280772871147803,17.712287149639796,1104.460274577501,0,0,27.141243666981413,17.17580472722561,1106.411237801154,0,0,30.35620553379385,17.301765099267044,1243.0593007253278,0,0,26.039716546190885,15.57488519207457,995.6569524360714,0,0,27.45448465452849,16.941185542051755,4449.587765540055,0,0,1200,0.693,34.181,,,,,,,,request_failed,,,,,,,,0.2280101776123047,,,,,,,,,
